Date : 2024-06-22 20:07:12
Directory : c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1
Total : 167 files,  16704 codes, 256 comments, 415 blanks, all 17375 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\authentication\authentication.component.html                                                  | HTML               |         20 |          0 |          1 |         21 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\authentication\authentication.component.ts                                                    | TypeScript         |         33 |          0 |          6 |         39 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\authentication\authentication.service.ts                                                      | TypeScript         |         66 |          2 |          8 |         76 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\authentication\screen\login\login.component.css                                               | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\authentication\screen\login\login.component.html                                              | HTML               |         37 |          6 |          0 |         43 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\authentication\screen\login\login.component.ts                                                | TypeScript         |         34 |          1 |          4 |         39 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\authentication\screen\registro\registro.component.css                                         | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\authentication\screen\registro\registro.component.html                                        | HTML               |         63 |         10 |          0 |         73 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\authentication\screen\registro\registro.component.ts                                          | TypeScript         |         44 |          3 |          8 |         55 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\dashboard.component.css                                                             | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\dashboard.component.html                                                            | HTML               |         45 |          3 |          0 |         48 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\dashboard.component.ts                                                              | TypeScript         |        152 |          0 |         10 |        162 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\dashboard.service.ts                                                                | TypeScript         |          9 |          1 |          3 |         13 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\georeferenciacion-mapa\components\loading-map\loading-map.component.css     | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\georeferenciacion-mapa\components\loading-map\loading-map.component.html    | HTML               |          1 |          0 |          1 |          2 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\georeferenciacion-mapa\components\loading-map\loading-map.component.spec.ts | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\georeferenciacion-mapa\components\loading-map\loading-map.component.ts      | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\georeferenciacion-mapa\geolocalizacion.service.spec.ts                      | TypeScript         |         12 |          0 |          5 |         17 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\georeferenciacion-mapa\geolocalizacion.service.ts                           | TypeScript         |         62 |          0 |          8 |         70 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\georeferenciacion-mapa\georeferenciacion-mapa.component.css                 | CSS                |         18 |          0 |          5 |         23 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\georeferenciacion-mapa\georeferenciacion-mapa.component.html                | HTML               |         79 |         12 |          4 |         95 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\georeferenciacion-mapa\georeferenciacion-mapa.component.ts                  | TypeScript         |        455 |         29 |         63 |        547 |
